"Herb names (Chinese, English)",MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OB value,Caco2 value,DL value,HL value,Total
µ¤²Î£¨Salvia Root£©,MOL007122,282.41,4.73,0,2,38.76,1.23,0.87,0.25,0.32,14.82,TRUE,TRUE,TRUE,TRUE,TRUE
·À·ç£¨Divaricate Saposhnikovia Root£©,MOL011737,320.32,1.34,2,7,87,-0.18,-1.05,0.32,0.25,14.83,TRUE,TRUE,TRUE,TRUE,TRUE
è×Êµ(Immature Orange Fruit),MOL013276,594.62,-0.21,7,14,36.55,-1.67,-2.59,0.74,0.28,14.83,TRUE,FALSE,TRUE,TRUE,FALSE
»¯éÙºì(Pummelo Peel),MOL013276,594.62,-0.21,7,14,36.55,-1.67,-2.59,0.74,0.28,14.83,TRUE,FALSE,TRUE,TRUE,FALSE
éÙºì(Pummelo Peel),MOL013276,594.62,-0.21,7,14,36.55,-1.67,-2.59,0.74,0.28,14.83,TRUE,FALSE,TRUE,TRUE,FALSE
Á¬ÇÌ£¨Weeping Forsythia Capsule£©,MOL003370,302.3,2.65,1,6,79.16,0.84,0.04,0.3,0.2,14.86,TRUE,TRUE,TRUE,TRUE,TRUE
Üù²Ë£¨Shepherdspurse Herb£©,MOL004564,300.28,2.02,3,6,73.41,0.43,-0.21,0.27,0.36,14.86,TRUE,TRUE,TRUE,TRUE,TRUE
ÝÃÝÖ£¨Smilacis Chinae Rhizoma£©£¨Smilacis Chinae Rhizoma£©,MOL004564,300.28,2.02,3,6,73.41,0.43,-0.21,0.27,0.36,14.86,TRUE,TRUE,TRUE,TRUE,TRUE
ÝÃÝÖ£¨Smilacis Chinae Rhizoma£©£¨Smilacis Chinae Rhizoma£©,MOL004564,300.28,2.02,3,6,73.41,0.43,-0.21,0.27,0.36,14.86,TRUE,TRUE,TRUE,TRUE,TRUE
É³Ô·×Ó£¨Flatstem Milkvetch Seed£©,MOL004564,300.28,2.02,3,6,73.41,0.43,-0.21,0.27,0.36,14.86,TRUE,TRUE,TRUE,TRUE,TRUE
É½èÍ£¨Galanga Resurrectionlily Rhizome£©,MOL004564,300.28,2.02,3,6,73.41,0.43,-0.21,0.27,0.36,14.86,TRUE,TRUE,TRUE,TRUE,TRUE
