,name,MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OBÖµ,Caco2Öµ,DLÖµ,HLÖµ,»ã×Ü
9959,¹ãÔæ,MOL008497,414.79,8.22,0,1,27.57,1.43,1.21,0.74,0.22,,FALSE,TRUE,TRUE,TRUE,FALSE
9960,¹ãÔæ,MOL008498,456.78,6.47,2,3,17.7,0.56,-0.06,0.75,0.27,,FALSE,TRUE,TRUE,TRUE,FALSE
11463,ºúÂ«°Í,MOL008499,456.73,5.01,0,4,11.58,0.83,0.3,0.72,0.22,,FALSE,TRUE,TRUE,TRUE,FALSE
11466,ºúÂ«°Í,MOL008502,432.71,3.92,2,4,14.34,0.37,-0.3,0.79,0.19,,FALSE,TRUE,TRUE,TRUE,FALSE
11468,ºúÂ«°Í,MOL008504,284.28,2.55,3,5,26.91,0.49,-0.4,0.24,0.39,,FALSE,TRUE,TRUE,TRUE,FALSE
11469,ºúÂ«°Í,MOL008505,404.5,3.55,3,7,24.16,0.29,-0.29,0.58,0.21,,FALSE,TRUE,TRUE,TRUE,FALSE
11471,ºúÂ«°Í,MOL008507,509.71,-1.18,2,9,10.08,0.19,-0.13,0.57,0.12,,FALSE,TRUE,TRUE,TRUE,FALSE
11472,ºúÂ«°Í,MOL008508,446.44,0.43,7,10,3.05,-1.2,-2.01,0.73,0.32,,FALSE,FALSE,TRUE,TRUE,FALSE
11473,ºúÂ«°Í,MOL008509,578.56,2.19,7,12,1.64,-1.17,-2.29,0.75,0.37,,FALSE,FALSE,TRUE,TRUE,FALSE
11474,ºúÂ«°Í,MOL008510,594.57,-1.96,10,15,16.65,-3.02,-3.65,0.78,0.31,,FALSE,FALSE,TRUE,TRUE,FALSE
11475,ºúÂ«°Í,MOL008511,432.41,-0.06,7,10,16.49,-1.52,-2.41,0.71,0.34,,FALSE,FALSE,TRUE,TRUE,FALSE
11476,ºúÂ«°Í,MOL008512,906.98,10.48,9,12,3.01,-0.49,-2.29,0.04,0.4,,FALSE,FALSE,FALSE,TRUE,FALSE
11477,ºúÂ«°Í,MOL008513,596.54,-1.5,10,16,4.4,-2.64,-3.65,0.75,0.28,,FALSE,FALSE,TRUE,TRUE,FALSE
11478,ºúÂ«°Í,MOL008514,478.8,6.11,2,6,12.85,0.49,-0.28,0.71,0.23,,FALSE,TRUE,TRUE,TRUE,FALSE
11482,ºúÂ«°Í,MOL008518,432.71,3.92,2,4,17.23,0.33,-0.26,0.79,0.19,,FALSE,TRUE,TRUE,TRUE,FALSE
11484,ºúÂ«°Í,MOL008520,288.48,3.58,3,4,19.99,-0.02,-0.76,0.13,0.23,,FALSE,TRUE,FALSE,TRUE,FALSE
11485,ºúÂ«°Í,MOL008522,416.71,4.88,1,3,16.05,0.71,0.06,0.81,0.2,,FALSE,TRUE,TRUE,TRUE,FALSE
11486,ºúÂ«°Í,MOL008523,432.71,3.92,2,4,13.37,0.27,-0.16,0.79,0.22,,FALSE,TRUE,TRUE,TRUE,FALSE
11488,ºúÂ«°Í,MOL008525,430.69,3.67,2,4,13.94,0.24,-0.5,0.79,0.22,,FALSE,TRUE,TRUE,TRUE,FALSE
14604,¾ÕÜÄ,MOL008527,224.28,1.32,2,4,19.66,0.02,-0.22,0.1,0.31,,FALSE,TRUE,FALSE,TRUE,FALSE
14605,¾ÕÜÄ,MOL008528,927.21,1.74,10,18,2.27,-3.1,-4.25,0.06,0.27,,FALSE,FALSE,FALSE,TRUE,FALSE
14606,¾ÕÜÄ,MOL008529,456.78,6.42,2,3,12.25,0.46,-0.17,0.76,0.25,,FALSE,TRUE,TRUE,TRUE,FALSE
14607,¾ÕÜÄ,MOL008530,340.31,-0.54,5,9,12.76,-1.05,-1.55,0.35,0.29,,FALSE,FALSE,TRUE,TRUE,FALSE
14608,¾ÕÜÄ,MOL008531,242.39,4.92,1,1,17.57,1.61,0.44,0.1,0.38,,FALSE,TRUE,FALSE,TRUE,FALSE
14609,¾ÕÜÄ,MOL008532,226.29,3.58,0,2,24.38,0.92,0.38,0.11,0.42,,FALSE,TRUE,FALSE,TRUE,FALSE
14610,¾ÕÜÄ,MOL008533,474.4,2.45,6,12,1.79,-0.98,-1.95,0.57,0.42,,FALSE,FALSE,TRUE,TRUE,FALSE
14611,¾ÕÜÄ,MOL008534,284.28,2.29,2,5,10.44,0.72,0.17,0.23,0.36,,FALSE,TRUE,TRUE,TRUE,FALSE
30072,ÒæÖÇ,MOL008534,284.28,2.29,2,5,10.44,0.72,0.17,0.23,0.36,,FALSE,TRUE,TRUE,TRUE,FALSE
14612,¾ÕÜÄ,MOL008535,276.31,0.33,2,5,22.99,-0.48,-1.15,0.22,0.36,,FALSE,FALSE,TRUE,TRUE,FALSE
14615,¾ÕÜÄ,MOL008538,202.38,3.85,0,2,26.7,1.44,1.52,0.04,0.18,,FALSE,TRUE,FALSE,TRUE,FALSE
14617,¾ÕÜÄ,MOL008540,240.28,0.86,3,5,10.74,-0.34,-0.84,0.1,0.31,,FALSE,TRUE,FALSE,TRUE,FALSE
14618,¾ÕÜÄ,MOL008541,943.21,0.06,9,19,17.74,-2.99,-4.4,0.07,0.25,,FALSE,FALSE,FALSE,TRUE,FALSE
14620,¾ÕÜÄ,MOL008543,943.21,0.25,9,19,18.6,-2.83,-3.87,0.03,0.25,,FALSE,FALSE,FALSE,TRUE,FALSE
